Region,Region Code,Province,Province Code,Municipality_City,Municipality_City Code,Number of Evacuation Center
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Dumalinao,PH097307000,7
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Dumingag,PH097308000,51
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Kumalarang,PH097311000,4
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Labangan,PH097312000,4
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Lapuyan,PH097313000,9
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Mahayag,PH097315000,1
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Margosatubig,PH097317000,2
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Midsalip,PH097318000,9
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Molave,PH097319000,9
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,City of Pagadian (Capital),PH097322000,2
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Ramon Magsaysay (Liargo),PH097323000,14
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,San Miguel,PH097324000,2
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,San Pablo,PH097325000,2
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Tabina,PH097327000,20
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Tambulig,PH097328000,1
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Tukuran,PH097330000,3
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,City of Zamboanga,PH097332000,47
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Lakewood,PH097333000,2
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Josefina,PH097337000,4
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Pitogo,PH097338000,6
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Sominot (Don Mariano Marcos),PH097340000,6
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Vincenzo A. Sagun,PH097341000,7
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Guipos,PH097343000,4
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Tigbao,PH097344000,69
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Sibugay,PH098300000,Alicia,PH098301000,17
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Sibugay,PH098300000,Buug,PH098302000,2
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Sibugay,PH098300000,Diplahan,PH098303000,1
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Sibugay,PH098300000,Imelda,PH098304000,4
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Sibugay,PH098300000,Ipil (Capital),PH098305000,6
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Sibugay,PH098300000,Kabasalan,PH098306000,1
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Sibugay,PH098300000,Mabuhay,PH098307000,22
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Sibugay,PH098300000,Malangas,PH098308000,1
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Sibugay,PH098300000,Naga,PH098309000,1
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Sibugay,PH098300000,Olutanga,PH098310000,7
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Sibugay,PH098300000,Payao,PH098311000,14
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Sibugay,PH098300000,Roseller Lim,PH098312000,4
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Sibugay,PH098300000,Siay,PH098313000,6
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Sibugay,PH098300000,Talusan,PH098314000,3
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Sibugay,PH098300000,Titay,PH098315000,1
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Sibugay,PH098300000,Tungawan,PH098316000,34
Region IX (Zamboanga Peninsula),PH090000000,City of Isabela (Not a Province),PH099700000,City of Isabela,PH099701000,0
Region X (Northern Mindanao),PH100000000,Bukidnon,PH101300000,Baungon,PH101301000,1
Region X (Northern Mindanao),PH100000000,Bukidnon,PH101300000,Damulog,PH101302000,7
Region X (Northern Mindanao),PH100000000,Bukidnon,PH101300000,Dangcagan,PH101303000,4
Region X (Northern Mindanao),PH100000000,Bukidnon,PH101300000,Don Carlos,PH101304000,1
Region X (Northern Mindanao),PH100000000,Bukidnon,PH101300000,Impasug-Ong,PH101305000,14
Region X (Northern Mindanao),PH100000000,Bukidnon,PH101300000,Kadingilan,PH101306000,2
Region X (Northern Mindanao),PH100000000,Bukidnon,PH101300000,Kalilangan,PH101307000,5
Region X (Northern Mindanao),PH100000000,Bukidnon,PH101300000,Kibawe,PH101308000,14
Region X (Northern Mindanao),PH100000000,Bukidnon,PH101300000,Kitaotao,PH101309000,0
Region X (Northern Mindanao),PH100000000,Bukidnon,PH101300000,Lantapan,PH101310000,0
Region X (Northern Mindanao),PH100000000,Bukidnon,PH101300000,Libona,PH101311000,16
Region X (Northern Mindanao),PH100000000,Bukidnon,PH101300000,City of Malaybalay (Capital),PH101312000,14
Region X (Northern Mindanao),PH100000000,Bukidnon,PH101300000,Malitbog,PH101313000,1
Region X (Northern Mindanao),PH100000000,Bukidnon,PH101300000,Manolo Fortich,PH101314000,23
Region X (Northern Mindanao),PH100000000,Bukidnon,PH101300000,Maramag,PH101315000,1
Region X (Northern Mindanao),PH100000000,Bukidnon,PH101300000,Pangantucan,PH101316000,1
Region X (Northern Mindanao),PH100000000,Bukidnon,PH101300000,Quezon,PH101317000,23
Region X (Northern Mindanao),PH100000000,Bukidnon,PH101300000,San Fernando,PH101318000,0
Region X (Northern Mindanao),PH100000000,Bukidnon,PH101300000,Sumilao,PH101319000,1
Region X (Northern Mindanao),PH100000000,Bukidnon,PH101300000,Talakag,PH101320000,23
Region X (Northern Mindanao),PH100000000,Bukidnon,PH101300000,City of Valencia,PH101321000,1
Region X (Northern Mindanao),PH100000000,Bukidnon,PH101300000,Cabanglasan,PH101322000,22
Region X (Northern Mindanao),PH100000000,Camiguin,PH101800000,Catarman,PH101801000,19
Region X (Northern Mindanao),PH100000000,Camiguin,PH101800000,Guinsiliban,PH101802000,22
Region X (Northern Mindanao),PH100000000,Camiguin,PH101800000,Mahinog,PH101803000,21
Region X (Northern Mindanao),PH100000000,Camiguin,PH101800000,Mambajao (Capital),PH101804000,17
Region X (Northern Mindanao),PH100000000,Camiguin,PH101800000,Sagay,PH101805000,29
Region X (Northern Mindanao),PH100000000,Lanao Del Norte,PH103500000,Bacolod,PH103501000,3
Region X (Northern Mindanao),PH100000000,Lanao Del Norte,PH103500000,Baloi,PH103502000,5
Region X (Northern Mindanao),PH100000000,Lanao Del Norte,PH103500000,Baroy,PH103503000,11
Region X (Northern Mindanao),PH100000000,Lanao Del Norte,PH103500000,City of Iligan,PH103504000,23
Region X (Northern Mindanao),PH100000000,Lanao Del Norte,PH103500000,Kapatagan,PH103505000,5
Region X (Northern Mindanao),PH100000000,Lanao Del Norte,PH103500000,Sultan Naga Dimaporo (Karomatan),PH103506000,2
Region X (Northern Mindanao),PH100000000,Lanao Del Norte,PH103500000,Kauswagan,PH103507000,5
Region X (Northern Mindanao),PH100000000,Lanao Del Norte,PH103500000,Kolambugan,PH103508000,10
Region X (Northern Mindanao),PH100000000,Lanao Del Norte,PH103500000,Lala,PH103509000,43
Region X (Northern Mindanao),PH100000000,Lanao Del Norte,PH103500000,Linamon,PH103510000,5
Region X (Northern Mindanao),PH100000000,Lanao Del Norte,PH103500000,Magsaysay,PH103511000,0
Region X (Northern Mindanao),PH100000000,Lanao Del Norte,PH103500000,Maigo,PH103512000,4
Region X (Northern Mindanao),PH100000000,Lanao Del Norte,PH103500000,Matungao,PH103513000,0
Region X (Northern Mindanao),PH100000000,Lanao Del Norte,PH103500000,Munai,PH103514000,2
Region X (Northern Mindanao),PH100000000,Lanao Del Norte,PH103500000,Nunungan,PH103515000,3
Region X (Northern Mindanao),PH100000000,Lanao Del Norte,PH103500000,Pantao Ragat,PH103516000,0
Region X (Northern Mindanao),PH100000000,Lanao Del Norte,PH103500000,Poona Piagapo,PH103517000,4
Region X (Northern Mindanao),PH100000000,Lanao Del Norte,PH103500000,Salvador,PH103518000,1
Region X (Northern Mindanao),PH100000000,Lanao Del Norte,PH103500000,Sapad,PH103519000,0
Region X (Northern Mindanao),PH100000000,Lanao Del Norte,PH103500000,Tagoloan,PH103520000,4
Region X (Northern Mindanao),PH100000000,Lanao Del Norte,PH103500000,Tangcal,PH103521000,5
Region X (Northern Mindanao),PH100000000,Lanao Del Norte,PH103500000,Tubod (Capital),PH103522000,2
Region X (Northern Mindanao),PH100000000,Lanao Del Norte,PH103500000,Pantar,PH103523000,0
Region X (Northern Mindanao),PH100000000,Misamis Occidental,PH104200000,Aloran,PH104201000,8
Region X (Northern Mindanao),PH100000000,Misamis Occidental,PH104200000,Baliangao,PH104202000,1
Region X (Northern Mindanao),PH100000000,Misamis Occidental,PH104200000,Bonifacio,PH104203000,1
Region X (Northern Mindanao),PH100000000,Misamis Occidental,PH104200000,Calamba,PH104204000,5
Region X (Northern Mindanao),PH100000000,Misamis Occidental,PH104200000,Clarin,PH104205000,5
Region X (Northern Mindanao),PH100000000,Misamis Occidental,PH104200000,Concepcion,PH104206000,3
Region X (Northern Mindanao),PH100000000,Misamis Occidental,PH104200000,Jimenez,PH104207000,0
Region X (Northern Mindanao),PH100000000,Misamis Occidental,PH104200000,Lopez Jaena,PH104208000,1
Region X (Northern Mindanao),PH100000000,Misamis Occidental,PH104200000,City of Oroquieta (Capital),PH104209000,9
Region X (Northern Mindanao),PH100000000,Misamis Occidental,PH104200000,City of Ozamiz,PH104210000,6
Region X (Northern Mindanao),PH100000000,Misamis Occidental,PH104200000,Panaon,PH104211000,4
Region X (Northern Mindanao),PH100000000,Misamis Occidental,PH104200000,Plaridel,PH104212000,4
Region X (Northern Mindanao),PH100000000,Misamis Occidental,PH104200000,Sapang Dalaga,PH104213000,32
Region X (Northern Mindanao),PH100000000,Misamis Occidental,PH104200000,Sinacaban,PH104214000,3
Region X (Northern Mindanao),PH100000000,Misamis Occidental,PH104200000,City of Tangub,PH104215000,9
Region X (Northern Mindanao),PH100000000,Misamis Occidental,PH104200000,Tudela,PH104216000,3
Region X (Northern Mindanao),PH100000000,Misamis Occidental,PH104200000,Don Victoriano Chiongbian  (Don Mariano Marcos),PH104217000,1
Region X (Northern Mindanao),PH100000000,Misamis Oriental,PH104300000,Alubijid,PH104301000,1
Region X (Northern Mindanao),PH100000000,Misamis Oriental,PH104300000,Balingasag,PH104302000,3
Region X (Northern Mindanao),PH100000000,Misamis Oriental,PH104300000,Balingoan,PH104303000,4
Region X (Northern Mindanao),PH100000000,Misamis Oriental,PH104300000,Binuangan,PH104304000,2
Region X (Northern Mindanao),PH100000000,Misamis Oriental,PH104300000,City of Cagayan De Oro (Capital),PH104305000,100
Region X (Northern Mindanao),PH100000000,Misamis Oriental,PH104300000,Claveria,PH104306000,1
Region X (Northern Mindanao),PH100000000,Misamis Oriental,PH104300000,City of El Salvador,PH104307000,2
Region X (Northern Mindanao),PH100000000,Misamis Oriental,PH104300000,City of Gingoog,PH104308000,17
Region X (Northern Mindanao),PH100000000,Misamis Oriental,PH104300000,Gitagum,PH104309000,1
Region X (Northern Mindanao),PH100000000,Misamis Oriental,PH104300000,Initao,PH104310000,1
Region X (Northern Mindanao),PH100000000,Misamis Oriental,PH104300000,Jasaan,PH104311000,1
Region X (Northern Mindanao),PH100000000,Misamis Oriental,PH104300000,Kinoguitan,PH104312000,1
Region X (Northern Mindanao),PH100000000,Misamis Oriental,PH104300000,Lagonglong,PH104313000,1
Region X (Northern Mindanao),PH100000000,Misamis Oriental,PH104300000,Laguindingan,PH104314000,3
Region X (Northern Mindanao),PH100000000,Misamis Oriental,PH104300000,Libertad,PH104315000,3
Region X (Northern Mindanao),PH100000000,Misamis Oriental,PH104300000,Lugait,PH104316000,2
Region X (Northern Mindanao),PH100000000,Misamis Oriental,PH104300000,Magsaysay (Linugos),PH104317000,1
Region X (Northern Mindanao),PH100000000,Misamis Oriental,PH104300000,Manticao,PH104318000,16
Region X (Northern Mindanao),PH100000000,Misamis Oriental,PH104300000,Medina,PH104319000,2
Region X (Northern Mindanao),PH100000000,Misamis Oriental,PH104300000,Naawan,PH104320000,1
Region X (Northern Mindanao),PH100000000,Misamis Oriental,PH104300000,Opol,PH104321000,1
Region X (Northern Mindanao),PH100000000,Misamis Oriental,PH104300000,Salay,PH104322000,1
Region X (Northern Mindanao),PH100000000,Misamis Oriental,PH104300000,Sugbongcogon,PH104323000,2
Region X (Northern Mindanao),PH100000000,Misamis Oriental,PH104300000,Tagoloan,PH104324000,1
Region X (Northern Mindanao),PH100000000,Misamis Oriental,PH104300000,Talisayan,PH104325000,2
Region X (Northern Mindanao),PH100000000,Misamis Oriental,PH104300000,Villanueva,PH104326000,1
Region XI (Davao Region),PH110000000,Davao Del Norte,PH112300000,Asuncion (Saug),PH112301000,24
Region XI (Davao Region),PH110000000,Davao Del Norte,PH112300000,Carmen,PH112303000,12
Region XI (Davao Region),PH110000000,Davao Del Norte,PH112300000,Kapalong,PH112305000,28
Region XI (Davao Region),PH110000000,Davao Del Norte,PH112300000,New Corella,PH112314000,11
Region XI (Davao Region),PH110000000,Davao Del Norte,PH112300000,City of Panabo,PH112315000,24
Region XI (Davao Region),PH110000000,Davao Del Norte,PH112300000,Island Garden City of Samal,PH112317000,0
Region XI (Davao Region),PH110000000,Davao Del Norte,PH112300000,Santo Tomas,PH112318000,15
Region XI (Davao Region),PH110000000,Davao Del Norte,PH112300000,City of Tagum (Capital),PH112319000,7
Region XI (Davao Region),PH110000000,Davao Del Norte,PH112300000,Talaingod,PH112322000,3
Region XI (Davao Region),PH110000000,Davao Del Norte,PH112300000,Braulio E. Dujali,PH112323000,25
Region XI (Davao Region),PH110000000,Davao Del Norte,PH112300000,San Isidro,PH112324000,0
Region XI (Davao Region),PH110000000,Davao Del Sur,PH112400000,Bansalan,PH112401000,1
Region XI (Davao Region),PH110000000,Davao Del Sur,PH112400000,City of Davao,PH112402000,0
Region XI (Davao Region),PH110000000,Davao Del Sur,PH112400000,City of Digos (Capital),PH112403000,30
Region XI (Davao Region),PH110000000,Davao Del Sur,PH112400000,Hagonoy,PH112404000,59
Region XI (Davao Region),PH110000000,Davao Del Sur,PH112400000,Kiblawan,PH112406000,31
Region XI (Davao Region),PH110000000,Davao Del Sur,PH112400000,Magsaysay,PH112407000,48
Region XI (Davao Region),PH110000000,Davao Del Sur,PH112400000,Malalag,PH112408000,20
Region XI (Davao Region),PH110000000,Davao Del Sur,PH112400000,Matanao,PH112410000,33
Region XI (Davao Region),PH110000000,Davao Del Sur,PH112400000,Padada,PH112411000,11
Region XI (Davao Region),PH110000000,Davao Del Sur,PH112400000,Santa Cruz,PH112412000,14
Region XI (Davao Region),PH110000000,Davao Del Sur,PH112400000,Sulop,PH112414000,2
Region XI (Davao Region),PH110000000,Davao Oriental,PH112500000,Baganga,PH112501000,0
Region XI (Davao Region),PH110000000,Davao Oriental,PH112500000,Banaybanay,PH112502000,1
Region XI (Davao Region),PH110000000,Davao Oriental,PH112500000,Boston,PH112503000,1
Region XI (Davao Region),PH110000000,Davao Oriental,PH112500000,Caraga,PH112504000,6
Region XI (Davao Region),PH110000000,Davao Oriental,PH112500000,Cateel,PH112505000,3
Region XI (Davao Region),PH110000000,Davao Oriental,PH112500000,Governor Generoso,PH112506000,1
Region XI (Davao Region),PH110000000,Davao Oriental,PH112500000,Lupon,PH112507000,0
Region XI (Davao Region),PH110000000,Davao Oriental,PH112500000,Manay,PH112508000,25
Region XI (Davao Region),PH110000000,Davao Oriental,PH112500000,City of Mati (Capital),PH112509000,0
Region XI (Davao Region),PH110000000,Davao Oriental,PH112500000,San Isidro,PH112510000,16
Region XI (Davao Region),PH110000000,Davao Oriental,PH112500000,Tarragona,PH112511000,13
Region XI (Davao Region),PH110000000,Compostela Valley,PH118200000,Compostela,PH118201000,24
Region XI (Davao Region),PH110000000,Compostela Valley,PH118200000,Laak (San Vicente),PH118202000,1
Region XI (Davao Region),PH110000000,Compostela Valley,PH118200000,Mabini (Doña Alicia),PH118203000,16
Region XI (Davao Region),PH110000000,Compostela Valley,PH118200000,Maco,PH118204000,2
Region XI (Davao Region),PH110000000,Compostela Valley,PH118200000,Maragusan (San Mariano),PH118205000,25
Region XI (Davao Region),PH110000000,Compostela Valley,PH118200000,Mawab,PH118206000,19
Region XI (Davao Region),PH110000000,Compostela Valley,PH118200000,Monkayo,PH118207000,1
Region XI (Davao Region),PH110000000,Compostela Valley,PH118200000,Montevista,PH118208000,19
Region XI (Davao Region),PH110000000,Compostela Valley,PH118200000,Nabunturan (Capital),PH118209000,51
Region XI (Davao Region),PH110000000,Compostela Valley,PH118200000,New Bataan,PH118210000,3
Region XI (Davao Region),PH110000000,Compostela Valley,PH118200000,Pantukan,PH118211000,24
Region XI (Davao Region),PH110000000,Davao Occidental,PH118600000,Don Marcelino,PH118601000,9
Region XI (Davao Region),PH110000000,Davao Occidental,PH118600000,Jose Abad Santos (Trinidad),PH118602000,2
Region XI (Davao Region),PH110000000,Davao Occidental,PH118600000,Malita (Capital),PH118603000,4
Region XI (Davao Region),PH110000000,Davao Occidental,PH118600000,Santa Maria,PH118604000,7
Region XI (Davao Region),PH110000000,Davao Occidental,PH118600000,Sarangani,PH118605000,17
Region XII (SOCCSKSARGEN),PH120000000,Cotabato (North Cotabato),PH124700000,Alamada,PH124701000,1
Region XII (SOCCSKSARGEN),PH120000000,Cotabato (North Cotabato),PH124700000,Carmen,PH124702000,2
Region XII (SOCCSKSARGEN),PH120000000,Cotabato (North Cotabato),PH124700000,Kabacan,PH124703000,2
Region XII (SOCCSKSARGEN),PH120000000,Cotabato (North Cotabato),PH124700000,City of Kidapawan (Capital),PH124704000,1
Region XII (SOCCSKSARGEN),PH120000000,Cotabato (North Cotabato),PH124700000,Libungan,PH124705000,19
Region XII (SOCCSKSARGEN),PH120000000,Cotabato (North Cotabato),PH124700000,Magpet,PH124706000,19
Region XII (SOCCSKSARGEN),PH120000000,Cotabato (North Cotabato),PH124700000,Makilala,PH124707000,1
Region XII (SOCCSKSARGEN),PH120000000,Cotabato (North Cotabato),PH124700000,Matalam,PH124708000,42
Region XII (SOCCSKSARGEN),PH120000000,Cotabato (North Cotabato),PH124700000,Midsayap,PH124709000,1
Region XII (SOCCSKSARGEN),PH120000000,Cotabato (North Cotabato),PH124700000,M'Lang,PH124710000,7
Region XII (SOCCSKSARGEN),PH120000000,Cotabato (North Cotabato),PH124700000,Pigkawayan,PH124711000,3
Region XII (SOCCSKSARGEN),PH120000000,Cotabato (North Cotabato),PH124700000,Pikit,PH124712000,7
Region XII (SOCCSKSARGEN),PH120000000,Cotabato (North Cotabato),PH124700000,President Roxas,PH124713000,5
Region XII (SOCCSKSARGEN),PH120000000,Cotabato (North Cotabato),PH124700000,Tulunan,PH124714000,92
Region XII (SOCCSKSARGEN),PH120000000,Cotabato (North Cotabato),PH124700000,Antipas,PH124715000,3
Region XII (SOCCSKSARGEN),PH120000000,Cotabato (North Cotabato),PH124700000,Banisilan,PH124716000,89
Region XII (SOCCSKSARGEN),PH120000000,Cotabato (North Cotabato),PH124700000,Aleosan,PH124717000,5
Region XII (SOCCSKSARGEN),PH120000000,Cotabato (North Cotabato),PH124700000,Arakan,PH124718000,6
Region XII (SOCCSKSARGEN),PH120000000,South Cotabato,PH126300000,Banga,PH126302000,2
Region XII (SOCCSKSARGEN),PH120000000,South Cotabato,PH126300000,City of General Santos (Dadiangas),PH126303000,26
Region XII (SOCCSKSARGEN),PH120000000,South Cotabato,PH126300000,City of Koronadal (Capital),PH126306000,38
Region XII (SOCCSKSARGEN),PH120000000,South Cotabato,PH126300000,Norala,PH126311000,48
Region XII (SOCCSKSARGEN),PH120000000,South Cotabato,PH126300000,Polomolok,PH126312000,59
Region XII (SOCCSKSARGEN),PH120000000,South Cotabato,PH126300000,Surallah,PH126313000,7
Region XII (SOCCSKSARGEN),PH120000000,South Cotabato,PH126300000,Tampakan,PH126314000,48
Region XII (SOCCSKSARGEN),PH120000000,South Cotabato,PH126300000,Tantangan,PH126315000,12
Region XII (SOCCSKSARGEN),PH120000000,South Cotabato,PH126300000,T'Boli,PH126316000,34
Region XII (SOCCSKSARGEN),PH120000000,South Cotabato,PH126300000,Tupi,PH126317000,100
Region XII (SOCCSKSARGEN),PH120000000,South Cotabato,PH126300000,Santo Niño,PH126318000,13
Region XII (SOCCSKSARGEN),PH120000000,South Cotabato,PH126300000,Lake Sebu,PH126319000,3
Region XII (SOCCSKSARGEN),PH120000000,Sultan Kudarat,PH126500000,Bagumbayan,PH126501000,3
Region XII (SOCCSKSARGEN),PH120000000,Sultan Kudarat,PH126500000,Columbio,PH126502000,23
Region XII (SOCCSKSARGEN),PH120000000,Sultan Kudarat,PH126500000,Esperanza,PH126503000,1
Region XII (SOCCSKSARGEN),PH120000000,Sultan Kudarat,PH126500000,Isulan (Capital),PH126504000,1
Region XII (SOCCSKSARGEN),PH120000000,Sultan Kudarat,PH126500000,Kalamansig,PH126505000,6
Region XII (SOCCSKSARGEN),PH120000000,Sultan Kudarat,PH126500000,Lebak,PH126506000,1
Region XII (SOCCSKSARGEN),PH120000000,Sultan Kudarat,PH126500000,Lutayan,PH126507000,12
Region XII (SOCCSKSARGEN),PH120000000,Sultan Kudarat,PH126500000,Lambayong (Mariano Marcos),PH126508000,6
Region XII (SOCCSKSARGEN),PH120000000,Sultan Kudarat,PH126500000,Palimbang,PH126509000,1
Region XII (SOCCSKSARGEN),PH120000000,Sultan Kudarat,PH126500000,President Quirino,PH126510000,3
Region XII (SOCCSKSARGEN),PH120000000,Sultan Kudarat,PH126500000,City of Tacurong,PH126511000,23
Region XII (SOCCSKSARGEN),PH120000000,Sultan Kudarat,PH126500000,Sen. Ninoy Aquino,PH126512000,1
Region XII (SOCCSKSARGEN),PH120000000,Sarangani,PH128000000,Alabel (Capital),PH128001000,11
Region XII (SOCCSKSARGEN),PH120000000,Sarangani,PH128000000,Glan,PH128002000,17
Region XII (SOCCSKSARGEN),PH120000000,Sarangani,PH128000000,Kiamba,PH128003000,10
Region XII (SOCCSKSARGEN),PH120000000,Sarangani,PH128000000,Maasim,PH128004000,10
Region XII (SOCCSKSARGEN),PH120000000,Sarangani,PH128000000,Maitum,PH128005000,5
Region XII (SOCCSKSARGEN),PH120000000,Sarangani,PH128000000,Malapatan,PH128006000,25
Region XII (SOCCSKSARGEN),PH120000000,Sarangani,PH128000000,Malungon,PH128007000,72
Region XII (SOCCSKSARGEN),PH120000000,Cotabato City (Not a Province),PH129800000,City of Cotabato,PH129804000,4
National Capital Region (NCR),PH130000000,"NCR, City of Manila, First District (Not a Province)",PH133900000,Tondo I/Ii,PH133901000,0
National Capital Region (NCR),PH130000000,"NCR, City of Manila, First District (Not a Province)",PH133900000,Binondo,PH133902000,0
National Capital Region (NCR),PH130000000,"NCR, City of Manila, First District (Not a Province)",PH133900000,Quiapo,PH133903000,0
National Capital Region (NCR),PH130000000,"NCR, City of Manila, First District (Not a Province)",PH133900000,San Nicolas,PH133904000,0
National Capital Region (NCR),PH130000000,"NCR, City of Manila, First District (Not a Province)",PH133900000,Santa Cruz,PH133905000,0
National Capital Region (NCR),PH130000000,"NCR, City of Manila, First District (Not a Province)",PH133900000,Sampaloc,PH133906000,0
National Capital Region (NCR),PH130000000,"NCR, City of Manila, First District (Not a Province)",PH133900000,San Miguel,PH133907000,0
National Capital Region (NCR),PH130000000,"NCR, City of Manila, First District (Not a Province)",PH133900000,Ermita,PH133908000,0
National Capital Region (NCR),PH130000000,"NCR, City of Manila, First District (Not a Province)",PH133900000,Intramuros,PH133909000,0
National Capital Region (NCR),PH130000000,"NCR, City of Manila, First District (Not a Province)",PH133900000,Malate,PH133910000,0
National Capital Region (NCR),PH130000000,"NCR, City of Manila, First District (Not a Province)",PH133900000,Paco,PH133911000,0
National Capital Region (NCR),PH130000000,"NCR, City of Manila, First District (Not a Province)",PH133900000,Pandacan,PH133912000,0
National Capital Region (NCR),PH130000000,"NCR, City of Manila, First District (Not a Province)",PH133900000,Port Area,PH133913000,0
National Capital Region (NCR),PH130000000,"NCR, City of Manila, First District (Not a Province)",PH133900000,Santa Ana,PH133914000,0
National Capital Region (NCR),PH130000000,"NCR, Second District (Not a Province)",PH137400000,City of Mandaluyong,PH137401000,0
National Capital Region (NCR),PH130000000,"NCR, Second District (Not a Province)",PH137400000,City of Marikina,PH137402000,5
National Capital Region (NCR),PH130000000,"NCR, Second District (Not a Province)",PH137400000,City of Pasig,PH137403000,129
National Capital Region (NCR),PH130000000,"NCR, Second District (Not a Province)",PH137400000,Quezon City,PH137404000,0
National Capital Region (NCR),PH130000000,"NCR, Second District (Not a Province)",PH137400000,City of San Juan,PH137405000,5
National Capital Region (NCR),PH130000000,"NCR, Third District (Not a Province)",PH137500000,City of Caloocan,PH137501000,24
National Capital Region (NCR),PH130000000,"NCR, Third District (Not a Province)",PH137500000,City of Malabon,PH137502000,71
National Capital Region (NCR),PH130000000,"NCR, Third District (Not a Province)",PH137500000,City of Navotas,PH137503000,0
National Capital Region (NCR),PH130000000,"NCR, Third District (Not a Province)",PH137500000,City of Valenzuela,PH137504000,0
National Capital Region (NCR),PH130000000,"NCR, Fourth District (Not a Province)",PH137600000,City of Las Piñas,PH137601000,70
National Capital Region (NCR),PH130000000,"NCR, Fourth District (Not a Province)",PH137600000,City of Makati,PH137602000,103
National Capital Region (NCR),PH130000000,"NCR, Fourth District (Not a Province)",PH137600000,City of Muntinlupa,PH137603000,16
National Capital Region (NCR),PH130000000,"NCR, Fourth District (Not a Province)",PH137600000,City of Parañaque,PH137604000,5
National Capital Region (NCR),PH130000000,"NCR, Fourth District (Not a Province)",PH137600000,Pasay City,PH137605000,18
National Capital Region (NCR),PH130000000,"NCR, Fourth District (Not a Province)",PH137600000,Pateros,PH137606000,0
National Capital Region (NCR),PH130000000,"NCR, Fourth District (Not a Province)",PH137600000,City of Taguig,PH137607000,0
Cordillera Administrative Region (CAR),PH140000000,Abra,PH140100000,Bangued (Capital),PH140101000,5
Cordillera Administrative Region (CAR),PH140000000,Abra,PH140100000,Boliney,PH140102000,0
Cordillera Administrative Region (CAR),PH140000000,Abra,PH140100000,Bucay,PH140103000,3
Cordillera Administrative Region (CAR),PH140000000,Abra,PH140100000,Bucloc,PH140104000,10
Cordillera Administrative Region (CAR),PH140000000,Abra,PH140100000,Daguioman,PH140105000,5
Cordillera Administrative Region (CAR),PH140000000,Abra,PH140100000,Danglas,PH140106000,8
Cordillera Administrative Region (CAR),PH140000000,Abra,PH140100000,Dolores,PH140107000,3
Cordillera Administrative Region (CAR),PH140000000,Abra,PH140100000,La Paz,PH140108000,6
Cordillera Administrative Region (CAR),PH140000000,Abra,PH140100000,Lacub,PH140109000,13
Cordillera Administrative Region (CAR),PH140000000,Abra,PH140100000,Lagangilang,PH140110000,1
