Region,Region Code,Province,Province Code,Municipality_City,Municipality_City Code,Number of Households,Faucet/Community System,Tubed/Piped,Dug well,Bottled Water,Natural Sources,Peddler/Others/Not Reported
Mimaropa Region,PH170000000,Romblon,PH175900000,San Jose,PH175914000,2392,1057,295,47,184,809,0
Mimaropa Region,PH170000000,Romblon,PH175900000,Santa Fe,PH175915000,3711,541,2420,316,310,102,22
Mimaropa Region,PH170000000,Romblon,PH175900000,Santa Maria (Imelda),PH175917000,1880,1139,303,13,172,253,0
Region IX (Zamboanga Peninsula),PH090000000,City Of Isabela (Not a Province),PH099700000,City of Isabela,PH099701000,22916,13193,3801,1132,1792,1011,1987
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Bacungan (Leon T. Postigo),PH097226000,5564,2075,870,529,389,1596,105
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Baliguian,PH097224000,5176,3114,687,404,19,952,0
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,City of Dapitan,PH097201000,18108,6078,1694,1482,5090,3541,223
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,City of Dipolog (Capital),PH097202000,29983,6525,3213,974,17837,729,705
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Godod,PH097225000,3802,1806,659,317,4,1013,3
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Gutalac,PH097223000,7584,1525,2350,2059,203,1446,1
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Jose Dalman (Ponot),PH097222000,6104,1490,1778,858,251,1727,0
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Kalawit,PH097227000,4830,1619,1784,987,61,369,10
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Katipunan,PH097203000,9803,2109,2327,537,1362,3290,178
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,La Libertad,PH097204000,1871,261,210,411,91,897,1
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Labason,PH097205000,9186,4032,2335,354,1844,596,25
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Liloy,PH097206000,9369,4842,1389,585,2104,289,160
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Manukan,PH097207000,7823,1478,2502,1550,831,1432,30
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Mutia,PH097208000,2686,1901,215,27,34,509,0
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Piñan (New Piñan),PH097209000,4632,1191,1855,413,228,898,47
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Polanco,PH097210000,9198,2578,2793,1296,1602,920,9
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Pres. Manuel A. Roxas,PH097211000,8423,2216,1335,1997,820,2051,4
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Rizal,PH097212000,3521,1330,650,326,294,915,6
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Salug,PH097213000,7233,1577,3206,874,743,828,5
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Sergio Osmeña Sr.,PH097214000,6529,3052,317,255,155,2717,33
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Siayan,PH097215000,7319,1782,1488,1894,82,2033,40
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Sibuco,PH097216000,7229,3257,663,822,5,2480,2
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Sibutad,PH097217000,4322,3036,520,338,120,268,40
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Sindangan,PH097218000,22409,3523,8715,1616,2052,3558,2945
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Siocon,PH097219000,10613,3583,1659,1655,2019,1423,274
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Sirawai,PH097220000,5854,3617,1200,314,71,647,5
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Tampilisan,PH097221000,5657,1526,1143,1105,377,1155,351
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Aurora,PH097302000,11037,9171,275,546,318,677,50
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Bayog,PH097303000,6920,4466,1334,304,77,734,5
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Dimataling,PH097305000,6572,3448,2040,305,69,709,1
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Dinas,PH097306000,7702,4348,1452,1277,86,517,22
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Dumalinao,PH097307000,7097,3064,1086,337,640,1767,203
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Dumingag,PH097308000,9888,3540,3412,898,244,1791,3
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Guipos,PH097343000,4307,2947,326,202,157,649,26
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Josefina,PH097337000,2556,1975,178,232,0,171,0
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Kumalarang,PH097311000,6005,1505,199,130,75,4095,1
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Labangan,PH097312000,8767,2916,2847,652,1186,481,685
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Lakewood,PH097333000,4099,1117,149,84,32,2597,120
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Lapuyan,PH097313000,5793,4013,920,234,77,548,1
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Mahayag,PH097315000,9769,6219,2250,491,175,544,90
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Margosatubig,PH097317000,8823,4978,1167,933,165,1021,559
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Midsalip,PH097318000,6782,3459,784,341,85,2109,4
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Molave,PH097319000,11515,9200,709,441,182,933,50
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,City of Pagadian (Capital),PH097322000,40872,28966,3215,1233,3801,2554,1103
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Pitogo,PH097338000,5881,2662,2025,270,433,478,13
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Ramon Magsaysay (Liargo),PH097323000,6158,4354,513,536,107,595,53
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,San Miguel,PH097324000,4234,2036,543,793,238,624,0
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,San Pablo,PH097325000,5812,3922,887,443,37,521,2
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Sominot (Don Mariano Marcos),PH097340000,4149,1274,1218,866,54,682,55
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Tabina,PH097327000,5627,3826,717,248,65,754,17
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Tambulig,PH097328000,7717,5996,711,220,107,663,20
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Tigbao,PH097344000,4601,2521,434,127,101,1391,27
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Tukuran,PH097330000,8498,2905,2530,513,1145,861,544
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Vincenzo A. Sagun,PH097341000,5061,3691,17,1066,99,185,3
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,City of Zamboanga,PH097332000,190568,97722,15373,11719,44066,7063,14625
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Sibugay,PH098300000,Alicia,PH098301000,7766,4271,983,1914,415,131,52
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Sibugay,PH098300000,Buug,PH098302000,8344,3474,736,509,2269,1349,7
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Sibugay,PH098300000,Diplahan,PH098303000,7663,3876,916,234,754,1446,437
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Sibugay,PH098300000,Imelda,PH098304000,6540,3701,391,764,179,1264,241
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Sibugay,PH098300000,Ipil (Capital),PH098305000,18094,5322,3212,1164,5547,646,2203
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Sibugay,PH098300000,Kabasalan,PH098306000,9517,5834,652,343,1683,976,29
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Sibugay,PH098300000,Mabuhay,PH098307000,6986,2501,2439,1658,294,13,81
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Sibugay,PH098300000,Malangas,PH098308000,8067,3225,1768,1476,706,551,341
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Sibugay,PH098300000,Naga,PH098309000,8562,3525,755,1138,646,1105,1393
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Sibugay,PH098300000,Olutanga,PH098310000,6765,3805,1810,1047,4,89,10
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Sibugay,PH098300000,Payao,PH098311000,6943,1500,953,3693,64,650,83
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Sibugay,PH098300000,Roseller Lim,PH098312000,10513,4647,2779,1724,657,658,48
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Sibugay,PH098300000,Siay,PH098313000,9215,3580,1627,1347,1044,806,811
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Sibugay,PH098300000,Talusan,PH098314000,5191,2082,1738,951,302,95,23
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Sibugay,PH098300000,Titay,PH098315000,11138,3601,3145,2096,1081,1191,24
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Sibugay,PH098300000,Tungawan,PH098316000,9487,3053,3206,1768,444,848,168
Region V (Bicol Region),PH050000000,Albay,PH050500000,Bacacay,PH050501000,14365,6215,4184,1944,261,1710,51
Region V (Bicol Region),PH050000000,Albay,PH050500000,Camalig,PH050502000,14787,4362,6953,619,924,1721,208
Region V (Bicol Region),PH050000000,Albay,PH050500000,City of Ligao,PH050508000,22552,13724,5227,673,1306,1554,68
Region V (Bicol Region),PH050000000,Albay,PH050500000,City of Tabaco,PH050517000,27702,19343,4174,1218,925,1855,187
Region V (Bicol Region),PH050000000,Albay,PH050500000,Daraga (Locsin),PH050503000,27648,9748,10370,390,5177,1466,497
Region V (Bicol Region),PH050000000,Albay,PH050500000,Guinobatan,PH050504000,18239,6739,6754,731,1315,2482,218
Region V (Bicol Region),PH050000000,Albay,PH050500000,Jovellar,PH050505000,3812,869,1968,425,2,545,3
Region V (Bicol Region),PH050000000,Albay,PH050500000,City of Legazpi (Capital),PH050506000,41742,7983,10227,3113,16364,3023,1032
Region V (Bicol Region),PH050000000,Albay,PH050500000,Libon,PH050507000,15528,3868,5340,640,4288,392,1000
Region V (Bicol Region),PH050000000,Albay,PH050500000,Malilipot,PH050509000,8104,5525,944,5,281,1347,2
Region V (Bicol Region),PH050000000,Albay,PH050500000,Malinao,PH050510000,9765,7824,815,25,603,430,68
Region V (Bicol Region),PH050000000,Albay,PH050500000,Manito,PH050511000,5066,4324,208,322,2,210,0
Region V (Bicol Region),PH050000000,Albay,PH050500000,Oas,PH050512000,14068,3848,4549,467,3072,519,1613
Region V (Bicol Region),PH050000000,Albay,PH050500000,Pio Duran,PH050513000,9467,4749,3687,538,331,44,118
Region V (Bicol Region),PH050000000,Albay,PH050500000,Polangui,PH050514000,18313,6787,3607,790,6217,868,44
Region V (Bicol Region),PH050000000,Albay,PH050500000,Rapu-Rapu,PH050515000,7401,4484,1267,849,89,690,22
Region V (Bicol Region),PH050000000,Albay,PH050500000,Santo Domingo (Libog),PH050516000,7516,4810,1189,129,58,1064,266
Region V (Bicol Region),PH050000000,Albay,PH050500000,Tiwi,PH050518000,11016,8204,1403,80,976,333,20
Region V (Bicol Region),PH050000000,Camarines Norte,PH051600000,Basud,PH051601000,9123,3338,2015,1775,915,569,511
Region V (Bicol Region),PH050000000,Camarines Norte,PH051600000,Capalonga,PH051602000,7169,2401,953,1997,49,370,1399
Region V (Bicol Region),PH050000000,Camarines Norte,PH051600000,Daet (Capital),PH051603000,23270,20754,1476,226,568,61,185
Region V (Bicol Region),PH050000000,Camarines Norte,PH051600000,Jose Panganiban,PH051605000,13855,3408,3000,1063,2198,2967,1219
Region V (Bicol Region),PH050000000,Camarines Norte,PH051600000,Labo,PH051606000,22256,11281,3891,2467,486,2383,1748
Region V (Bicol Region),PH050000000,Camarines Norte,PH051600000,Mercedes,PH051607000,10899,8138,1256,839,39,217,410
Region V (Bicol Region),PH050000000,Camarines Norte,PH051600000,Paracale,PH051608000,13171,5145,2314,777,1167,1708,2060
Region V (Bicol Region),PH050000000,Camarines Norte,PH051600000,San Lorenzo Ruiz (Imelda),PH051604000,3184,2416,160,513,15,77,3
Region V (Bicol Region),PH050000000,Camarines Norte,PH051600000,San Vicente,PH051609000,2400,1826,407,16,96,55,0
Region V (Bicol Region),PH050000000,Camarines Norte,PH051600000,Santa Elena,PH051610000,9214,3311,1180,2016,1383,931,393
Region V (Bicol Region),PH050000000,Camarines Norte,PH051600000,Talisay,PH051611000,5803,4345,1143,103,196,11,5
Region V (Bicol Region),PH050000000,Camarines Norte,PH051600000,Vinzons,PH051612000,9650,6795,1593,1044,67,123,28
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,Baao,PH051701000,11443,4443,4511,905,441,963,180
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,Balatan,PH051702000,5881,841,4125,72,237,579,27
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,Bato,PH051703000,9869,1175,5583,29,2338,738,6
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,Bombon,PH051704000,3461,2130,762,35,426,106,2
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,Buhi,PH051705000,16541,11453,3165,515,79,965,364
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,Bula,PH051706000,13589,3300,8460,290,451,989,99
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,Cabusao,PH051707000,3902,2116,609,10,133,10,1024
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,Calabanga,PH051708000,17211,9722,3888,545,1015,1358,683
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,Camaligan,PH051709000,4848,1445,144,0,749,3,2507
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,Canaman,PH051710000,7103,1881,687,15,1717,30,2773
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,Caramoan,PH051711000,9946,4570,2724,2054,42,547,9
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,Del Gallego,PH051712000,5249,2868,1263,797,33,247,41
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,Gainza,PH051713000,2251,1711,8,0,80,0,452
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,Garchitorena,PH051714000,5216,2759,1089,1222,1,136,9
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,Goa,PH051715000,12842,5784,3916,1039,373,1714,16
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,City of Iriga,PH051716000,21840,14942,4684,761,350,960,143
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,Lagonoy,PH051717000,11312,5367,4450,285,270,930,10
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,Libmanan,PH051718000,23629,12026,8317,675,445,1982,184
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,Lupi,PH051719000,7013,4221,1080,934,89,684,5
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,Magarao,PH051720000,5333,3242,608,15,759,8,701
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,Milaor,PH051721000,6324,900,1684,214,288,12,3226
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,Minalabac,PH051722000,10313,2297,6215,79,256,338,1128
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,Nabua,PH051723000,16625,7057,7930,27,1550,28,33
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,City of Naga,PH051724000,42152,32195,2112,91,6876,369,509
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,Ocampo,PH051725000,9322,1592,6744,130,110,737,9
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,Pamplona,PH051726000,7583,951,4648,72,529,163,1220
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,Pasacao,PH051727000,9948,4055,2952,573,1407,957,4
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,Pili (Capital),PH051728000,18178,9779,6082,42,1471,647,157
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,Presentacion (Parubcan),PH051729000,4048,3357,387,45,24,235,0
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,Ragay,PH051730000,12496,4651,4068,1875,504,1130,268
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,Sagñay,PH051731000,6981,3012,2300,440,40,1179,10
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,San Fernando,PH051732000,7246,1983,3620,61,926,271,385
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,San Jose,PH051733000,8684,2809,5387,193,175,110,10
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,Sipocot,PH051734000,13531,5414,2820,1919,520,2768,90
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,Siruma,PH051735000,3780,607,1058,1924,18,160,13
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,Tigaon,PH051736000,11600,6034,3514,548,90,1387,27
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,Tinambac,PH051737000,13325,7313,2261,2558,85,1105,3
Region V (Bicol Region),PH050000000,Catanduanes,PH052000000,Bagamanoc,PH052001000,2410,1350,681,108,180,87,4
Region V (Bicol Region),PH050000000,Catanduanes,PH052000000,Baras,PH052002000,2818,2171,173,0,126,347,1
Region V (Bicol Region),PH050000000,Catanduanes,PH052000000,Bato,PH052003000,4563,3239,393,12,440,476,3
Region V (Bicol Region),PH050000000,Catanduanes,PH052000000,Caramoran,PH052004000,5893,3563,1737,14,16,562,1
Region V (Bicol Region),PH050000000,Catanduanes,PH052000000,Gigmoto,PH052005000,1749,704,889,3,7,143,3
Region V (Bicol Region),PH050000000,Catanduanes,PH052000000,Pandan,PH052006000,4208,1193,2358,50,47,560,0
Region V (Bicol Region),PH050000000,Catanduanes,PH052000000,Panganiban (Payo),PH052007000,2011,941,646,6,67,351,0
Region V (Bicol Region),PH050000000,Catanduanes,PH052000000,San Andres (Calolbon),PH052008000,7710,2907,3784,25,767,227,0
Region V (Bicol Region),PH050000000,Catanduanes,PH052000000,San Miguel,PH052009000,3052,2242,34,18,131,626,1
Region V (Bicol Region),PH050000000,Catanduanes,PH052000000,Viga,PH052010000,4332,2275,952,153,117,834,1
Region V (Bicol Region),PH050000000,Catanduanes,PH052000000,Virac (Capital),PH052011000,15068,4682,4665,37,5279,393,12
Region V (Bicol Region),PH050000000,Masbate,PH054100000,Aroroy,PH054101000,17087,6805,2928,3319,2602,767,666
Region V (Bicol Region),PH050000000,Masbate,PH054100000,Baleno,PH054102000,5369,2162,1616,1067,139,343,42
Region V (Bicol Region),PH050000000,Masbate,PH054100000,Balud,PH054103000,7867,1152,1571,4225,305,148,466
Region V (Bicol Region),PH050000000,Masbate,PH054100000,Batuan,PH054104000,3625,661,1491,1048,188,220,17
Region V (Bicol Region),PH050000000,Masbate,PH054100000,Cataingan,PH054105000,10833,1340,1839,3931,1608,1456,659
Region V (Bicol Region),PH050000000,Masbate,PH054100000,Cawayan,PH054106000,15063,1781,1895,8360,2689,146,192
Region V (Bicol Region),PH050000000,Masbate,PH054100000,City of Masbate (Capital),PH054111000,19237,3244,4409,1971,7259,1140,1214
Region V (Bicol Region),PH050000000,Masbate,PH054100000,Claveria,PH054107000,9173,4212,2922,997,10,1022,10
Region V (Bicol Region),PH050000000,Masbate,PH054100000,Dimasalang,PH054108000,5430,1797,1005,1454,675,480,19
Region V (Bicol Region),PH050000000,Masbate,PH054100000,Esperanza,PH054109000,4097,330,472,2410,499,249,137
Region V (Bicol Region),PH050000000,Masbate,PH054100000,Mandaon,PH054110000,8741,383,1468,5461,519,57,853
Region V (Bicol Region),PH050000000,Masbate,PH054100000,Milagros,PH054112000,11494,1629,1503,4990,1101,498,1773
Region V (Bicol Region),PH050000000,Masbate,PH054100000,Mobo,PH054113000,7752,2637,1537,770,1067,1718,23
Region V (Bicol Region),PH050000000,Masbate,PH054100000,Monreal,PH054114000,5270,1499,965,1888,151,596,171
Region V (Bicol Region),PH050000000,Masbate,PH054100000,Palanas,PH054115000,5856,3154,809,505,190,1176,22
Region V (Bicol Region),PH050000000,Masbate,PH054100000,Pio V. Corpuz (Limbuhan),PH054116000,5285,933,940,1412,333,1565,102
Region V (Bicol Region),PH050000000,Masbate,PH054100000,Placer,PH054117000,11958,190,738,6493,3177,98,1262
Region V (Bicol Region),PH050000000,Masbate,PH054100000,San Fernando,PH054118000,5402,1693,1472,709,537,596,395
Region V (Bicol Region),PH050000000,Masbate,PH054100000,San Jacinto,PH054119000,7065,1990,2304,1224,906,639,2
Region V (Bicol Region),PH050000000,Masbate,PH054100000,San Pascual,PH054120000,9836,3036,5240,727,43,772,18
Region V (Bicol Region),PH050000000,Masbate,PH054100000,Uson,PH054121000,11573,2150,2196,5104,1306,792,25
Region V (Bicol Region),PH050000000,Sorsogon,PH056200000,Barcelona,PH056202000,4794,2158,223,68,98,2246,1
Region V (Bicol Region),PH050000000,Sorsogon,PH056200000,Bulan,PH056203000,20787,12074,4383,1599,1485,530,716
Region V (Bicol Region),PH050000000,Sorsogon,PH056200000,Bulusan,PH056204000,5307,4919,93,64,41,190,0
Region V (Bicol Region),PH050000000,Sorsogon,PH056200000,Casiguran,PH056205000,7107,6186,300,95,66,438,22
Region V (Bicol Region),PH050000000,Sorsogon,PH056200000,Castilla,PH056206000,12298,3925,5010,875,467,1843,178
Region V (Bicol Region),PH050000000,Sorsogon,PH056200000,City of Sorsogon (Capital),PH056216000,35394,13233,8999,1221,7614,3478,849
Region V (Bicol Region),PH050000000,Sorsogon,PH056200000,Donsol,PH056207000,10322,3911,4574,858,201,588,190
Region V (Bicol Region),PH050000000,Sorsogon,PH056200000,Gubat,PH056208000,13471,6463,2972,1232,1012,1266,526
Region V (Bicol Region),PH050000000,Sorsogon,PH056200000,Irosin,PH056209000,11418,8368,936,64,803,1186,61
Region V (Bicol Region),PH050000000,Sorsogon,PH056200000,Juban,PH056210000,6650,4549,1012,336,81,661,11
Region V (Bicol Region),PH050000000,Sorsogon,PH056200000,Magallanes,PH056211000,7497,5854,763,194,30,640,16
Region V (Bicol Region),PH050000000,Sorsogon,PH056200000,Matnog,PH056212000,8395,5941,488,287,390,667,622
Region V (Bicol Region),PH050000000,Sorsogon,PH056200000,Pilar,PH056213000,15032,3956,6779,2737,1168,383,9
Region V (Bicol Region),PH050000000,Sorsogon,PH056200000,Prieto Diaz,PH056214000,4781,1255,2351,408,514,248,5
Region V (Bicol Region),PH050000000,Sorsogon,PH056200000,Santa Magdalena,PH056215000,3589,2417,850,108,4,209,1
Region VI (Western Visayas),PH060000000,Aklan,PH060400000,Altavas,PH060401000,5991,196,3111,1693,799,192,0
Region VI (Western Visayas),PH060000000,Aklan,PH060400000,Balete,PH060402000,6999,2529,730,2860,220,660,0
Region VI (Western Visayas),PH060000000,Aklan,PH060400000,Banga,PH060403000,9250,2903,4219,941,632,555,0
Region VI (Western Visayas),PH060000000,Aklan,PH060400000,Batan,PH060404000,7967,1247,4286,561,1613,260,0
Region VI (Western Visayas),PH060000000,Aklan,PH060400000,Buruanga,PH060405000,4239,2378,769,271,78,743,0
Region VI (Western Visayas),PH060000000,Aklan,PH060400000,Ibajay,PH060406000,11019,1123,6199,122,1645,1930,0
Region VI (Western Visayas),PH060000000,Aklan,PH060400000,Kalibo (Capital),PH060407000,17930,10612,1357,47,5797,117,0
Region VI (Western Visayas),PH060000000,Aklan,PH060400000,Lezo,PH060408000,3590,543,2281,27,679,60,0
Region VI (Western Visayas),PH060000000,Aklan,PH060400000,Libacao,PH060409000,6575,1192,1493,1466,19,2405,0
Region VI (Western Visayas),PH060000000,Aklan,PH060400000,Madalag,PH060410000,4260,825,716,648,421,1650,0
Region VI (Western Visayas),PH060000000,Aklan,PH060400000,Makato,PH060411000,6581,998,3745,80,1206,552,0
Region VI (Western Visayas),PH060000000,Aklan,PH060400000,Malay,PH060412000,12664,8449,1370,207,1952,686,0
Region VI (Western Visayas),PH060000000,Aklan,PH060400000,Malinao,PH060413000,5419,1401,2395,558,506,559,0
Region VI (Western Visayas),PH060000000,Aklan,PH060400000,Nabas,PH060414000,7918,1231,3727,540,1162,1258,0
Region VI (Western Visayas),PH060000000,Aklan,PH060400000,New Washington,PH060415000,10853,7459,1299,343,1696,56,0
Region VI (Western Visayas),PH060000000,Aklan,PH060400000,Numancia,PH060416000,7433,1110,2383,68,3853,19,0
Region VI (Western Visayas),PH060000000,Aklan,PH060400000,Tangalan,PH060417000,4991,562,3156,37,577,659,0
Region VI (Western Visayas),PH060000000,Antique,PH060600000,Anini-Y,PH060601000,4641,976,2866,22,606,170,1
Region VI (Western Visayas),PH060000000,Antique,PH060600000,Barbaza,PH060602000,5504,2560,1937,23,202,730,52
Region VI (Western Visayas),PH060000000,Antique,PH060600000,Belison,PH060603000,3083,178,2174,7,608,116,0
Region VI (Western Visayas),PH060000000,Antique,PH060600000,Bugasong,PH060604000,7386,2584,2489,56,298,1826,133
Region VI (Western Visayas),PH060000000,Antique,PH060600000,Caluya,PH060605000,7993,1746,1772,566,2385,1078,446
Region VI (Western Visayas),PH060000000,Antique,PH060600000,Culasi,PH060606000,9689,4707,3422,492,364,664,40
Region VI (Western Visayas),PH060000000,Antique,PH060600000,Hamtic,PH060608000,10535,772,4899,37,2271,2432,124
Region VI (Western Visayas),PH060000000,Antique,PH060600000,Laua-An,PH060609000,6080,1183,3199,114,232,1347,5
Region VI (Western Visayas),PH060000000,Antique,PH060600000,Libertad,PH060610000,3639,780,1983,1,355,489,31
Region VI (Western Visayas),PH060000000,Antique,PH060600000,Pandan,PH060611000,7825,3344,2245,148,1301,674,113
Region VI (Western Visayas),PH060000000,Antique,PH060600000,Patnongon,PH060612000,8593,863,3197,64,386,4044,39
Region VI (Western Visayas),PH060000000,Antique,PH060600000,San Jose (Capital),PH060613000,13561,6891,4097,29,1738,192,614
Region VI (Western Visayas),PH060000000,Antique,PH060600000,San Remigio,PH060614000,6590,1109,1361,100,50,3905,65
Region VI (Western Visayas),PH060000000,Antique,PH060600000,Sebaste,PH060615000,4029,1194,1451,5,621,744,14
